,customer_id,Recency,Frequency,MonetaryValue,label_kmeans5
207,CS1319,90,18,1161,Kelas B
208,CS1320,13,18,1382,Kelas B
209,CS1321,1,21,1668,Kelas A
210,CS1322,6,26,1964,Kelas A
211,CS1323,127,23,1595,Kelas A
212,CS1324,210,24,1611,Kelas C
213,CS1325,205,18,1209,Kelas C
214,CS1326,26,27,1940,Kelas A
215,CS1327,15,23,1525,Kelas A
216,CS1328,220,15,1043,Kelas C
217,CS1329,124,17,1158,Kelas C
218,CS1330,29,23,1750,Kelas A
219,CS1331,11,15,1170,Kelas B
220,CS1332,132,29,2010,Kelas A
221,CS1333,48,8,625,Kelas D
222,CS1334,81,25,1781,Kelas A
223,CS1335,123,17,1157,Kelas C
224,CS1336,110,24,1696,Kelas A
225,CS1337,38,22,1668,Kelas A
226,CS1338,21,18,1436,Kelas B
227,CS1339,61,23,1680,Kelas A
228,CS1340,128,20,1506,Kelas C
229,CS1341,70,13,1038,Kelas D
230,CS1342,2,16,1326,Kelas B
231,CS1343,69,21,1489,Kelas B
232,CS1344,26,25,1638,Kelas A
233,CS1345,102,18,1193,Kelas B
234,CS1346,169,15,1072,Kelas C
235,CS1347,5,30,2000,Kelas A
236,CS1348,60,22,1583,Kelas A
237,CS1349,18,16,1086,Kelas B
238,CS1350,34,27,1996,Kelas A
239,CS1351,124,21,1505,Kelas C
240,CS1352,42,20,1424,Kelas B
241,CS1353,207,19,1408,Kelas C
242,CS1354,409,16,1324,Kelas E
243,CS1355,50,23,1507,Kelas A
244,CS1356,82,24,1740,Kelas A
245,CS1357,155,26,1775,Kelas A
246,CS1358,12,19,1408,Kelas B
247,CS1359,22,16,1145,Kelas B
248,CS1360,44,18,1282,Kelas B
249,CS1361,19,19,1470,Kelas B
250,CS1362,7,23,1703,Kelas A
251,CS1363,203,24,1632,Kelas C
252,CS1364,68,27,1864,Kelas A
253,CS1365,19,19,1225,Kelas B
254,CS1366,29,22,1493,Kelas A
255,CS1367,69,29,2146,Kelas A
256,CS1368,5,15,960,Kelas B
257,CS1369,48,25,1746,Kelas A
258,CS1370,143,26,1864,Kelas A
259,CS1371,161,22,1496,Kelas C
260,CS1372,280,19,1412,Kelas C
261,CS1373,87,30,1967,Kelas A
262,CS1374,166,19,1357,Kelas C
263,CS1375,129,17,1165,Kelas C
264,CS1376,36,25,1512,Kelas A
265,CS1377,145,18,1505,Kelas C
266,CS1378,27,25,1671,Kelas A
267,CS1379,138,15,1134,Kelas C
268,CS1380,18,26,1857,Kelas A
269,CS1381,391,22,1449,Kelas C
270,CS1382,5,25,1845,Kelas A
271,CS1383,117,24,1788,Kelas A
272,CS1384,13,17,964,Kelas B
273,CS1385,6,22,1478,Kelas B
274,CS1386,73,14,998,Kelas D
275,CS1387,129,18,1238,Kelas C
276,CS1388,32,19,1275,Kelas B
277,CS1389,21,18,1189,Kelas B
278,CS1390,46,19,1210,Kelas B
279,CS1391,5,25,1584,Kelas A
280,CS1392,76,17,1227,Kelas B
281,CS1393,101,19,1437,Kelas C
282,CS1394,6,28,2046,Kelas A
283,CS1395,15,22,1704,Kelas A
284,CS1396,33,25,1852,Kelas A
285,CS1397,168,30,2156,Kelas A
286,CS1398,31,20,1354,Kelas B
287,CS1399,25,26,1832,Kelas A
288,CS1400,78,18,1193,Kelas B
289,CS1401,15,30,2023,Kelas A
290,CS1402,32,22,1660,Kelas A
291,CS1403,45,22,1652,Kelas A
292,CS1404,52,28,1900,Kelas A
293,CS1405,21,26,1943,Kelas A
294,CS1406,15,27,1842,Kelas A
295,CS1407,14,28,1916,Kelas A
296,CS1408,243,17,1214,Kelas C
297,CS1409,88,24,1464,Kelas A
298,CS1410,61,15,1160,Kelas B
299,CS1411,58,17,1222,Kelas B
300,CS1412,16,22,1599,Kelas A
301,CS1413,61,19,1396,Kelas B
302,CS1414,155,20,1437,Kelas C
303,CS1415,76,27,1752,Kelas A
304,CS1416,13,20,1513,Kelas B
305,CS1417,52,15,1076,Kelas B
306,CS1418,152,14,1053,Kelas C
307,CS1419,1,27,1915,Kelas A
308,CS1420,83,25,1923,Kelas A
309,CS1421,61,26,1822,Kelas A
310,CS1422,6,15,1211,Kelas B
311,CS1423,57,20,1182,Kelas B
312,CS1424,11,24,1753,Kelas A
313,CS1425,73,23,1688,Kelas A
314,CS1426,23,21,1538,Kelas B
315,CS1427,8,15,985,Kelas B
316,CS1428,87,25,1948,Kelas A
317,CS1429,134,18,1261,Kelas C
318,CS1430,14,21,1440,Kelas B
319,CS1431,13,18,1257,Kelas B
320,CS1432,4,19,1362,Kelas B
321,CS1433,41,20,1468,Kelas B
322,CS1434,12,27,1758,Kelas A
323,CS1435,48,25,1700,Kelas A
324,CS1436,61,14,977,Kelas D
325,CS1437,30,12,880,Kelas D
326,CS1438,38,20,1374,Kelas B
327,CS1439,36,16,1160,Kelas B
328,CS1440,103,22,1577,Kelas A
329,CS1441,70,20,1351,Kelas B
330,CS1442,9,20,1225,Kelas B
331,CS1443,55,24,1876,Kelas A
332,CS1444,37,23,1756,Kelas A
333,CS1445,3,23,1526,Kelas A
334,CS1446,14,15,991,Kelas B
335,CS1447,6,14,1001,Kelas B
336,CS1448,41,16,1239,Kelas B
337,CS1449,3,20,1402,Kelas B
338,CS1450,26,20,1251,Kelas B
339,CS1451,22,22,1715,Kelas A
340,CS1452,110,15,941,Kelas D
341,CS1453,134,22,1640,Kelas C
342,CS1454,22,17,1126,Kelas B
343,CS1455,3,18,1301,Kelas B
344,CS1456,206,20,1363,Kelas C
345,CS1457,93,15,929,Kelas D
346,CS1458,6,20,1422,Kelas B
347,CS1459,126,24,1627,Kelas A
348,CS1460,43,18,1185,Kelas B
349,CS1461,29,23,1567,Kelas A
350,CS1462,50,24,1616,Kelas A
351,CS1463,130,27,1807,Kelas A
352,CS1464,238,21,1613,Kelas C
353,CS1465,3,22,1631,Kelas A
354,CS1466,24,17,1190,Kelas B
355,CS1467,220,18,1233,Kelas C
356,CS1468,10,21,1412,Kelas B
357,CS1469,10,19,1387,Kelas B
358,CS1470,54,22,1649,Kelas A
359,CS1471,5,20,1325,Kelas B
360,CS1472,9,19,1241,Kelas B
361,CS1473,4,25,1695,Kelas A
362,CS1474,91,21,1487,Kelas B
363,CS1475,57,18,1197,Kelas B
364,CS1476,79,20,1430,Kelas B
365,CS1477,14,18,1185,Kelas B
366,CS1478,92,19,1300,Kelas B
367,CS1479,59,20,1567,Kelas B
368,CS1480,84,17,1251,Kelas B
369,CS1481,450,13,876,Kelas E
370,CS1482,38,12,732,Kelas D
371,CS1483,76,24,1774,Kelas A
372,CS1484,101,16,1221,Kelas B
373,CS1485,24,25,1814,Kelas A
374,CS1486,50,19,1377,Kelas B
375,CS1487,30,10,599,Kelas D
376,CS1488,14,23,1595,Kelas A
377,CS1489,35,15,950,Kelas D
378,CS1490,25,25,1788,Kelas A
379,CS1491,89,17,1244,Kelas B
380,CS1492,39,19,1358,Kelas B
381,CS1493,6,21,1531,Kelas B
382,CS1494,120,21,1502,Kelas C
383,CS1495,20,17,1138,Kelas B
384,CS1496,25,18,1222,Kelas B
385,CS1497,8,20,1445,Kelas B
386,CS1498,58,22,1519,Kelas A
387,CS1499,47,26,1879,Kelas A
388,CS1500,166,15,983,Kelas C
389,CS1501,37,26,1965,Kelas A
390,CS1502,6,22,1613,Kelas A
391,CS1503,2,27,1927,Kelas A
392,CS1504,46,13,825,Kelas D
393,CS1505,54,25,1703,Kelas A
394,CS1506,78,18,1307,Kelas B
395,CS1507,21,21,1280,Kelas B
396,CS1508,15,28,1933,Kelas A
397,CS1509,148,20,1383,Kelas C
398,CS1510,4,26,1792,Kelas A
399,CS1511,52,18,1253,Kelas B
400,CS1512,25,20,1239,Kelas B
401,CS1513,108,22,1444,Kelas C
402,CS1514,163,16,1046,Kelas C
403,CS1515,15,22,1742,Kelas A
404,CS1516,103,18,1308,Kelas C
405,CS1517,87,18,1168,Kelas B
406,CS1518,126,19,1151,Kelas C
407,CS1519,12,15,962,Kelas B
408,CS1520,4,18,1162,Kelas B
409,CS1521,196,9,671,Kelas E
410,CS1522,98,14,894,Kelas D
411,CS1523,217,15,928,Kelas C
412,CS1524,132,17,1075,Kelas C
413,CS1525,29,17,1215,Kelas B
414,CS1526,33,19,1324,Kelas B
415,CS1527,14,19,1187,Kelas B
416,CS1528,4,24,1660,Kelas A
417,CS1529,10,25,1823,Kelas A
418,CS1530,253,10,626,Kelas E
419,CS1531,37,25,1793,Kelas A
420,CS1532,285,17,1140,Kelas C
421,CS1533,45,23,1606,Kelas A
422,CS1534,70,20,1379,Kelas B
423,CS1535,85,24,1904,Kelas A
424,CS1536,37,12,753,Kelas D
425,CS1537,6,20,1323,Kelas B
426,CS1538,3,19,1304,Kelas B
427,CS1539,27,20,1371,Kelas B
428,CS1540,40,19,1199,Kelas B
429,CS1541,143,30,2273,Kelas A
430,CS1542,172,27,1808,Kelas A
431,CS1543,2,12,948,Kelas D
432,CS1544,55,19,1334,Kelas B
433,CS1545,23,28,1935,Kelas A
434,CS1546,201,18,1436,Kelas C
435,CS1547,27,22,1600,Kelas A
436,CS1548,19,23,1755,Kelas A
437,CS1549,27,20,1393,Kelas B
438,CS1550,52,22,1583,Kelas A
439,CS1551,103,18,1300,Kelas C
440,CS1552,32,22,1604,Kelas A
441,CS1553,189,20,1444,Kelas C
442,CS1554,143,17,993,Kelas C
443,CS1555,64,23,1571,Kelas A
444,CS1556,24,13,1031,Kelas D
445,CS1557,43,30,1992,Kelas A
446,CS1558,21,23,1500,Kelas A
447,CS1559,7,20,1613,Kelas B
448,CS1560,51,18,1352,Kelas B
449,CS1561,2,15,1082,Kelas B
450,CS1562,380,12,711,Kelas E
451,CS1563,406,17,1108,Kelas E
452,CS1564,20,16,1304,Kelas B
453,CS1565,122,17,1147,Kelas C
454,CS1566,192,21,1491,Kelas C
455,CS1567,23,19,1465,Kelas B
456,CS1568,35,20,1604,Kelas B
457,CS1569,27,15,1074,Kelas B
458,CS1570,104,25,1782,Kelas A
459,CS1571,33,20,1503,Kelas B
460,CS1572,36,15,1085,Kelas B
461,CS1573,45,19,1539,Kelas B
462,CS1574,8,18,1018,Kelas B
463,CS1575,48,26,1611,Kelas A
464,CS1576,95,16,1074,Kelas B
465,CS1577,21,21,1525,Kelas B
466,CS1578,90,16,1125,Kelas B
467,CS1579,28,20,1433,Kelas B
468,CS1580,192,33,2329,Kelas A
469,CS1581,39,23,1501,Kelas A
470,CS1582,20,27,2009,Kelas A
471,CS1583,31,25,1919,Kelas A
472,CS1584,15,21,1512,Kelas B
473,CS1585,95,19,1167,Kelas B
474,CS1586,75,20,1441,Kelas B
475,CS1587,39,27,1900,Kelas A
476,CS1588,10,25,1591,Kelas A
477,CS1589,16,15,1151,Kelas B
478,CS1590,156,16,964,Kelas C
479,CS1591,156,18,1144,Kelas C
480,CS1592,36,19,1215,Kelas B
481,CS1593,26,20,1406,Kelas B
482,CS1594,25,13,901,Kelas D
483,CS1595,108,10,648,Kelas D
484,CS1596,20,19,1342,Kelas B
485,CS1597,68,23,1611,Kelas A
486,CS1598,41,20,1289,Kelas B
487,CS1599,59,15,1028,Kelas B
488,CS1600,21,19,1270,Kelas B
489,CS1601,81,27,1787,Kelas A
490,CS1602,28,20,1401,Kelas B
491,CS1603,127,19,1374,Kelas C
492,CS1604,16,28,1950,Kelas A
493,CS1605,18,27,1685,Kelas A
494,CS1606,3,13,781,Kelas D
495,CS1607,63,19,1384,Kelas B
496,CS1608,51,14,973,Kelas D
497,CS1609,139,20,1375,Kelas C
498,CS1610,34,19,1326,Kelas B
499,CS1611,260,23,1794,Kelas C
500,CS1612,21,26,1759,Kelas A
501,CS1613,129,21,1347,Kelas C
502,CS1614,11,22,1568,Kelas A
503,CS1615,4,20,1419,Kelas B
504,CS1616,11,19,1434,Kelas B
505,CS1617,106,27,1784,Kelas A
506,CS1618,177,13,887,Kelas D
507,CS1619,12,21,1323,Kelas B
508,CS1620,302,16,1320,Kelas C
509,CS1621,23,26,1894,Kelas A
510,CS1622,1,20,1360,Kelas B
511,CS1623,18,26,1777,Kelas A
512,CS1624,41,25,1832,Kelas A
513,CS1625,6,14,950,Kelas D
514,CS1626,63,17,1172,Kelas B
515,CS1627,79,16,1043,Kelas B
516,CS1628,23,21,1456,Kelas B
517,CS1629,4,22,1394,Kelas B
518,CS1630,2,20,1393,Kelas B
519,CS1631,43,18,1223,Kelas B
520,CS1632,9,17,1187,Kelas B
521,CS1633,20,26,1763,Kelas A
522,CS1634,15,15,1044,Kelas B
523,CS1635,98,23,1573,Kelas A
524,CS1636,70,19,1347,Kelas B
525,CS1637,24,22,1496,Kelas A
526,CS1638,232,15,1035,Kelas C
527,CS1639,13,23,1619,Kelas A
528,CS1640,62,19,1232,Kelas B
529,CS1641,9,17,1232,Kelas B
530,CS1642,36,24,1672,Kelas A
531,CS1643,24,27,2087,Kelas A
532,CS1644,77,22,1542,Kelas A
533,CS1645,245,19,1412,Kelas C
534,CS1646,29,17,1185,Kelas B
535,CS1647,18,21,1401,Kelas B
536,CS1648,118,24,1776,Kelas A
537,CS1649,50,16,1197,Kelas B
538,CS1650,115,24,1832,Kelas A
539,CS1651,106,13,927,Kelas D
540,CS1652,2,26,1726,Kelas A
541,CS1653,119,26,1986,Kelas A
542,CS1654,92,19,1384,Kelas B
543,CS1655,30,14,955,Kelas D
544,CS1656,53,14,966,Kelas D
545,CS1657,127,18,1105,Kelas C
546,CS1658,31,20,1389,Kelas B
547,CS1659,45,19,1311,Kelas B
548,CS1660,22,24,1745,Kelas A
549,CS1661,29,32,2051,Kelas A
550,CS1662,24,17,1033,Kelas B
551,CS1663,98,23,1487,Kelas A
552,CS1664,14,25,1954,Kelas A
553,CS1665,157,16,1033,Kelas C
554,CS1666,52,18,1385,Kelas B
555,CS1667,75,20,1313,Kelas B
556,CS1668,51,17,1227,Kelas B
557,CS1669,16,15,1105,Kelas B
558,CS1670,83,16,1191,Kelas B
559,CS1671,86,17,1246,Kelas B
560,CS1672,133,15,1110,Kelas C
561,CS1673,56,26,1784,Kelas A
562,CS1674,56,17,1088,Kelas B
563,CS1675,40,28,2124,Kelas A
564,CS1676,68,28,2088,Kelas A
565,CS1677,66,21,1439,Kelas B
566,CS1678,77,18,1230,Kelas B
567,CS1679,8,28,1976,Kelas A
568,CS1680,50,18,1151,Kelas B
569,CS1681,115,21,1467,Kelas C
570,CS1682,128,15,1075,Kelas C
571,CS1683,15,17,1245,Kelas B
572,CS1684,70,18,1241,Kelas B
573,CS1685,217,22,1569,Kelas C
574,CS1686,69,24,1647,Kelas A
575,CS1687,26,22,1656,Kelas A
576,CS1688,133,17,1167,Kelas C
577,CS1689,76,16,993,Kelas B
578,CS1690,25,19,1354,Kelas B
579,CS1691,75,20,1523,Kelas B
580,CS1692,2,23,1592,Kelas A
581,CS1693,16,12,908,Kelas D
582,CS1694,67,22,1330,Kelas B
583,CS1695,95,32,2174,Kelas A
584,CS1696,131,19,1325,Kelas C
585,CS1697,109,15,1082,Kelas C
586,CS1698,6,19,1397,Kelas B
587,CS1699,18,18,1261,Kelas B
588,CS1700,249,17,1186,Kelas C
589,CS1701,180,18,1190,Kelas C
590,CS1702,28,17,1028,Kelas B
591,CS1703,71,15,890,Kelas D
592,CS1704,20,22,1484,Kelas A
593,CS1705,80,21,1553,Kelas B
594,CS1706,32,23,1681,Kelas A
595,CS1707,43,22,1627,Kelas A
596,CS1708,42,25,1790,Kelas A
597,CS1709,161,23,1629,Kelas C
598,CS1710,267,22,1577,Kelas C
599,CS1711,87,23,1548,Kelas A
600,CS1712,122,21,1411,Kelas C
601,CS1713,10,19,1495,Kelas B
602,CS1714,1,16,1248,Kelas B
603,CS1715,49,20,1314,Kelas B
604,CS1716,354,5,376,Kelas E
605,CS1717,51,14,963,Kelas D
606,CS1718,79,18,1284,Kelas B
607,CS1719,37,17,1166,Kelas B
608,CS1720,1,17,1104,Kelas B
609,CS1721,22,24,1687,Kelas A
610,CS1722,15,19,1320,Kelas B
611,CS1723,37,17,1146,Kelas B
612,CS1724,31,18,1223,Kelas B
613,CS1725,61,27,1778,Kelas A
614,CS1726,29,23,1529,Kelas A
615,CS1727,12,25,1702,Kelas A
616,CS1728,108,26,1896,Kelas A
617,CS1729,14,24,1567,Kelas A
618,CS1730,133,19,1260,Kelas C
619,CS1731,15,17,1145,Kelas B
620,CS1732,27,18,1353,Kelas B
621,CS1733,132,20,1506,Kelas C
622,CS1734,192,18,1235,Kelas C
623,CS1735,14,14,952,Kelas D
624,CS1736,85,24,1653,Kelas A
625,CS1737,92,23,1737,Kelas A
626,CS1738,37,20,1337,Kelas B
627,CS1739,50,17,1199,Kelas B
628,CS1740,41,25,1902,Kelas A
629,CS1741,149,18,1193,Kelas C
630,CS1742,72,19,1326,Kelas B
631,CS1743,170,17,1405,Kelas C
632,CS1744,14,14,1066,Kelas B
633,CS1745,26,22,1615,Kelas A
634,CS1746,276,26,1878,Kelas C
635,CS1747,5,17,1099,Kelas B
636,CS1748,3,22,1498,Kelas A
637,CS1749,19,17,1174,Kelas B
638,CS1750,13,22,1543,Kelas A
639,CS1751,51,23,1504,Kelas A
640,CS1752,19,22,1656,Kelas A
641,CS1753,88,18,1180,Kelas B
642,CS1754,80,17,1177,Kelas B
643,CS1755,88,17,1164,Kelas B
644,CS1756,237,18,1176,Kelas C
645,CS1757,82,31,2238,Kelas A
646,CS1758,67,20,1337,Kelas B
647,CS1759,109,24,1654,Kelas A
648,CS1760,64,21,1570,Kelas A
649,CS1761,2,16,1144,Kelas B
650,CS1762,94,14,1027,Kelas D
651,CS1763,30,24,1689,Kelas A
652,CS1764,37,15,1085,Kelas B
653,CS1765,86,14,1079,Kelas D
654,CS1766,122,19,1067,Kelas C
655,CS1767,34,26,1674,Kelas A
656,CS1768,97,25,1794,Kelas A
657,CS1769,182,20,1356,Kelas C
658,CS1770,7,25,1734,Kelas A
659,CS1771,13,19,1337,Kelas B
660,CS1772,55,18,1348,Kelas B
661,CS1773,88,22,1442,Kelas B
662,CS1774,5,25,1756,Kelas A
663,CS1775,55,13,848,Kelas D
664,CS1776,60,25,1782,Kelas A
665,CS1777,81,14,1044,Kelas D
666,CS1778,33,19,1368,Kelas B
667,CS1779,15,16,1086,Kelas B
668,CS1780,10,19,1265,Kelas B
669,CS1781,191,29,2131,Kelas A
670,CS1782,78,17,1174,Kelas B
671,CS1783,100,17,1210,Kelas B
672,CS1784,121,15,993,Kelas C
673,CS1785,20,29,2103,Kelas A
674,CS1786,37,31,2218,Kelas A
675,CS1787,12,22,1443,Kelas B
676,CS1788,156,24,1548,Kelas C
677,CS1789,16,16,1192,Kelas B
678,CS1790,182,18,1241,Kelas C
679,CS1791,1,21,1607,Kelas A
680,CS1792,74,17,1179,Kelas B
681,CS1793,18,17,1035,Kelas B
682,CS1794,1,24,1764,Kelas A
683,CS1795,132,17,1331,Kelas C
684,CS1796,46,20,1462,Kelas B
685,CS1797,52,23,1393,Kelas A
686,CS1798,101,27,1826,Kelas A
687,CS1799,43,14,966,Kelas D
688,CS1800,3,16,1053,Kelas B
689,CS1801,114,15,994,Kelas D
690,CS1802,11,27,1913,Kelas A
691,CS1803,129,21,1562,Kelas C
692,CS1804,41,19,1247,Kelas B
693,CS1805,26,31,2076,Kelas A
694,CS1806,47,15,1025,Kelas B
695,CS1807,53,26,1732,Kelas A
696,CS1808,92,14,851,Kelas D
697,CS1809,30,21,1500,Kelas B
698,CS1810,44,16,1165,Kelas B
699,CS1811,18,18,1425,Kelas B
